,open,close,high,low,volume,time,HA_Close,HA_Open,HA_High,HA_Low
119,29950.0,29870.1,30098.2,29790.0,8577.54,2023-07-18 08:00:00,29927.074999999997,29986.80877452637,30098.2,29790.0
120,29870.1,29893.3,30008.7,29682.0,13130.58,2023-07-18 12:00:00,29863.525,29925.166887263185,30008.7,29682.0
121,29893.3,29696.3,29949.3,29478.3,11553.44,2023-07-18 16:00:00,29754.3,29839.733443631594,29949.3,29478.3
122,29696.3,29843.9,29850.9,29673.1,2883.24,2023-07-18 20:00:00,29766.049999999996,29802.891721815795,29850.9,29673.1
123,29844.0,30041.8,30062.4,29826.9,5268.25,2023-07-19 00:00:00,29943.775,29873.333360907898,30062.4,29826.9
124,30041.8,29982.8,30175.0,29948.9,5011.33,2023-07-19 04:00:00,30037.125000000004,29955.22918045395,30175.0,29948.9
125,29982.9,29999.3,30032.9,29850.0,4187.58,2023-07-19 08:00:00,29966.275,29960.752090226975,30032.9,29850.0
126,29999.5,29941.6,30114.8,29750.0,10410.73,2023-07-19 12:00:00,29951.475,29956.113545113487,30114.8,29750.0
127,29941.6,30028.4,30090.3,29853.9,6994.82,2023-07-19 16:00:00,29978.549999999996,29967.33177255674,30090.3,29853.9
128,30028.4,29892.9,30041.5,29811.9,3869.95,2023-07-19 20:00:00,29943.675000000003,29955.50338627837,30041.5,29811.9
129,29892.9,29936.5,30037.7,29868.0,3137.24,2023-07-20 00:00:00,29933.775,29944.639193139184,30037.7,29868.0
130,29936.5,30195.2,30227.0,29912.1,6688.23,2023-07-20 04:00:00,30067.7,30006.16959656959,30227.0,29912.1
131,30195.2,30270.9,30408.6,30156.5,9283.98,2023-07-20 08:00:00,30257.800000000003,30131.984798284797,30408.6,30131.984798284797
132,30270.9,29789.3,30305.5,29600.3,16788.46,2023-07-20 12:00:00,29991.5,30061.7423991424,30305.5,29600.3
133,29789.3,29743.0,29857.6,29548.9,10103.09,2023-07-20 16:00:00,29734.699999999997,29898.2211995712,29898.2211995712,29548.9
134,29743.0,29792.3,29878.1,29651.8,4489.55,2023-07-20 20:00:00,29766.3,29832.2605997856,29878.1,29651.8
135,29792.3,29887.2,29942.2,29711.3,5508.14,2023-07-21 00:00:00,29833.25,29832.7552998928,29942.2,29711.3
